name,ingredients,diet,flavor,course,state,region,style,category,source
Balu shahi,"maida flour, yogurt, oil, sugar",vegetarian,sweet,dessert,west bengal,east,,,indian_food
Boondi,"gram flour, ghee, sugar",vegetarian,sweet,dessert,rajasthan,west,,,indian_food
Gajar ka halwa,"carrots, milk, sugar, ghee, cashews, raisins",vegetarian,sweet,dessert,punjab,north,,,indian_food
Ghevar,"flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,sweet,dessert,rajasthan,west,,,indian_food
Gulab jamun,"milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,sweet,dessert,west bengal,east,,,indian_food
Imarti,"sugar syrup, lentil flour",vegetarian,sweet,dessert,west bengal,east,,,indian_food
Jalebi,"maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,sweet,dessert,uttar pradesh,north,,,indian_food
Kaju katli,"cashews, ghee, cardamom, sugar",vegetarian,sweet,dessert,,,,,indian_food
Kalakand,"milk, cottage cheese, sugar",vegetarian,sweet,dessert,west bengal,east,,,indian_food
Kheer,"milk, rice, sugar, dried fruits",vegetarian,sweet,dessert,,,,,indian_food
Laddu,"gram flour, ghee, sugar",vegetarian,sweet,dessert,,,,,indian_food
Lassi,"yogurt, milk, nuts, sugar",vegetarian,sweet,dessert,punjab,north,,,indian_food
Nankhatai,"refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,sweet,dessert,,,,,indian_food
Petha,"firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,sweet,dessert,uttar pradesh,north,,,indian_food
Phirni,"rice, sugar, nuts",vegetarian,sweet,dessert,odisha,east,,,indian_food
Rabri,"condensed milk, sugar, spices, nuts",vegetarian,sweet,dessert,uttar pradesh,north,,,indian_food
Sheera,"semolina, ghee, nuts, milk",vegetarian,sweet,dessert,maharashtra,west,,,indian_food
Singori,"khoa, coconut, molu leaf",vegetarian,sweet,dessert,uttarakhand,north,,,indian_food
Sohan halwa,"corn flour, ghee, dry fruits",vegetarian,sweet,dessert,uttar pradesh,north,,,indian_food
Sohan papdi,"gram flour, ghee, sugar, milk, cardamom",vegetarian,sweet,dessert,maharashtra,west,,,indian_food
Chhena jalebi,"chhena, sugar, ghee",vegetarian,sweet,dessert,odisha,east,,,indian_food
Chhena kheeri,"chhena, sugar, milk",vegetarian,sweet,dessert,odisha,east,,,indian_food
Chhena poda,"sugar, chenna cheese",vegetarian,sweet,dessert,odisha,east,,,indian_food
Cham cham,"flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,sweet,dessert,west bengal,east,,,indian_food
Kheer sagar,"chenna, condensed milk, sugar, saffron, cardamom",vegetarian,sweet,dessert,odisha,east,,,indian_food
Ledikeni,"chhena, sugar, ghee",vegetarian,sweet,dessert,west bengal,east,,,indian_food
Lyangcha,"flour, fried milk power, sugar syrup",vegetarian,sweet,dessert,assam,north east,,,indian_food
Malapua,"yoghurt, refined flour, ghee, fennel seeds",vegetarian,sweet,dessert,bihar,north,,,indian_food
Mihidana,"besan flour, sugar, ghee",vegetarian,sweet,dessert,west bengal,east,,,indian_food
Misti doi,"milk, jaggery",vegetarian,sweet,dessert,west bengal,east,,,indian_food
Pantua,"chhena, sugar, ghee, flour",vegetarian,sweet,dessert,west bengal,east,,,indian_food
Pithe,"rice flour, wheat flour",vegetarian,sweet,dessert,assam,north east,,,indian_food
Rasabali,"chenna, sweetened milk",vegetarian,sweet,dessert,odisha,east,,,indian_food
Ras malai,"chhena, reduced milk, pistachio",vegetarian,sweet,dessert,west bengal,east,,,indian_food
Rasgulla,"chhena, sugar, cardamom",vegetarian,sweet,dessert,west bengal,east,,,indian_food
Sandesh,"milk, sugar, saffron, cardamom",vegetarian,sweet,dessert,west bengal,east,,,indian_food
Adhirasam,"rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,sweet,dessert,west bengal,east,,,indian_food
Ariselu,"rice flour, jaggery, ghee",vegetarian,sweet,dessert,andhra pradesh,south,,,indian_food
Bandar laddu,"besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,sweet,dessert,andhra pradesh,south,,,indian_food
