query,dish_name
something like wings,Hot Chicken Wings - 4 pcs
Chicken Kheema Rcie Bowl,Chicken Kheema Rice Bowl
2),Gulab Jamun (Pack Of 2)
pineapple wala,Fresh Cream Pineapple Cake (500gms)
bacon cheese garlic,Bacon Cheese Garlic Bread
Mutton Seekh Kabab,Mutton Seekh Kabab
spicy truffle,Truffle Funghi Misti Pizza
meetha mcveggie,Burger Combo for 2: Corn & Cheese + McVeggie
kuch 8-cheese chahiye,8-Cheese Forest Chicken Pizza
coolberg,Coolberg Peach
makki atta dish,Makki di roti sarson da saag
Saffron Poach Pear With Mascarpone,Saffron Poach Pear With Mascarpone
spicy paneer,Palak Paneer - Light Meal
teekha matar,Mushroom matar
meetha sagar,Kheer sagar
meetha classic,Classic Rajma Mini Rice Bowl
bucket,Chicken Mingles Bucket
methi gtoa,Methi na Gota
mcaloo spicy,McAloo Tikki Double Patty Burger
paneer banao,Paneer Dhaba Masala Rice Bowl
smoky red grilled chicken - 1,Smoky Red Grilled Chicken - 1 pc
choco crunch cookie + mcaloo tikki burger + lemon ice,Choco Crunch Cookie + McAloo Tikki Burger + Lemon Ice Tea
mushroom masala - feast,Mushroom Masala - Feast Thali
mihidana veg,Mihidana
something like aquavess,Aquavess Water (500ml)
something cappuccino,Blonde Cappuccino
doubles burger zinger chicken,Mixed Chicken Zinger Burger Doubles
gold edition - fries,Gold Edition - Regular Fries
craver veggie classic,Classic Veggie Craver (10cm)
(tub) gelato burst cotton,Cotton Candy Burst Gelato (Tub)
meetha biryani,Chef's Special Paneer Mughal Biryani
ghee tikona paratha of 3],Ghee Tikona Paratha [Pack of 3]
watermelon like something,Fresh Watermelon & Mint Juice
masala banao,Chana masala
meetha lababdar,Chicken Lababdar Rice Bowl
Cheesy Mania Corn Pizza Box,Cheesy Mania Corn Pizza Box
lunch box pollo di arrabbiata pasta,Lunch Box - Pollo Di Arrabbiata Pasta
zucchini zoodles and plant based kofta bowl ( vegan / high ),Zucchini Zoodles And Plant Based Kofta Bowl ( Vegan / High Protein )
jello spicy,Jello Mello Ice Cream (Tub)
kuch 8-cheese chahiye,8-Cheese Spinach Mushroom Pizza
meetha chicken,All Chicken Box
meetha frappuccino,Belgium Chocolate Frappuccino
rice box,Rice Box Meal
Purani Dilli Paneer Makhani [Masala Rice] Bowl,Purani Dilli Paneer Makhani [Masala Rice] Bowl
sarson wala,Makki di roti sarson da saag
crispy spicy,Crispy Veggie Burger + Piri Piri Fries (M)
pyaaz paratha (2 pcs) wiht curd & pickle,Aloo Pyaaz Paratha (2 pcs) with Curd & Pickle
sandwich wala,Smoked Chicken Sandwich
classic meal: course 5,5 Course Meal: Classic Pizza
ribbon ice cream (tub),Butterscotch Ribbon Ice Cream (Tub)
[masala like something,GT Road Paneer Mughlai [Masala Rice] Bowl
masor banao,Masor tenga
kadhai paneer [steamed rice] bowl,Townhall's Kadhai Paneer [Steamed Rice] Bowl
hot & crispy 2 pcs,Hot & Crispy Chicken- 2 pcs
cosy,Cosy Comfort White Sauce Pasta
ml can mirinda,Mirinda Can 300 ml
saag wala - feast thali,Saag Wala Chicken - Feast Thali
any 2 biryanis + any [free thums up & c...,Any 2 Biryanis + Any Starter [FREE Thums Up & C...
strawberry wala,Very Berry Strawberry Ice Cream (Regular Scoop)
something coffee,Hot  Coffee Combo
something like sprite,Sprite
& caramel salted,Salted Caramel & Espresso
lucnh sev,Sev khamani
kuch protein chahiye,Paneer Sukkha ( High Protein )
something like mazedar,Mazedar Makhni Paneer
pepsi spicy,Pepsi Can 300 ml
sweet churma,Churma Ladoo
mexican mcaloo tikki with,Mexican McAloo Tikki with Cheese
combo like something,Rice & Bites combo
Eggless Rich Chocolate Pastry [1 Piece],Eggless Rich Chocolate Pastry [1 Piece]
mexican banao,Mexican Wave Pizza
thali feast palak aloo,Aloo Palak - Feast Thali
mcspicy burger with multi-millet bun,McSpicy Paneer Burger with Multi-Millet Bun
kozhukattai wala,Sweet Kozhukattai (2 Pcs)
water aquavess,Aquavess Water (500ml)
spicy sourdough,Sourdough Clouds with Warm Dipping Chocolate
masala wala,Masala Pepsi
meetha steamed,Steamed Rice
kuch noodles chahiye,Veg Hakka Noodles Bowl
rice curry egg mughlai,Mughlai Egg Curry Rice Bowl
paneer peri bravo salad [32g protein],Paneer Peri Peri Bravo Salad [32g Protein]
popcorn chicken medium x,2 x Medium Chicken Popcorn
burger. chicken korean mcsaver,McSaver Korean Chicken Surprise Burger.
Chicken Pepperoni Thin n Crispy,Chicken Pepperoni Thin n Crispy
Margherita Pizza,Margherita Pizza
protein] [14g goodness veggie,Veggie Goodness Sandwich [14g Protein]
lazy bff combo,Lazy BFF Rice combo
pesto & honest salad [43g - high protein],Pesto & Chicken Honest Salad [43g - High Protein]
want to try tikki,Aloo tikki
spicy gulab,Gulab Jamun (2 pcs)
ferrero moments mousse cream (tub),Ferrero Moments Mousse Ice Cream (Tub)
cheesy chicken,Cheesy Chicken Tikka
andhrra gun khichdi,Andhra Gun Powder Khichdi
mini aloo samosa of 3],Mini Aloo Samosa [Pack of 3]
kuch millet chahiye,Millet Dal Khichdi Bowl - Healthy
spicy koni,Masor Koni
spicy frappe,Mocha Frappe
falafel mezze bowl ( vegan / protein ),Falafel Mezze Bowl ( Vegan / High Protein )
something like chicken,Smoky Red Grilled Chicken - 5 pc
lemonade,Masala Lemonade
kuch lava chahiye,Choco Lava Cake
cream ice coffee roasted,Roasted Coffee Creme Ice Cream
meetha chicken,Chicken Sausage Pizza
chicken banao,4 Chicken Wings + 2 McSpicy Fried Chicken + 2 Coke + 2 Dips
mexican corn & cheese + fries (m).,Mexican Corn & Cheese Burger + Fries (M).
sppicy mexican,Mexican Grilled Chicken & Cheese Burger Combo (M).
biryani paneer special chef's,Chef's Special Paneer Biryani Thali
kuch kheer chahiye,Chak Hao Kheer
kuch teekha khana hai,Butter chicken
sandwich & corn,Corn & Peas Sandwich
meetha chhena,Chhena jalebi
delhi-6 banao,Delhi-6 Rajma Rice Bowl
cheese,Chicken Zinger Burger - Classic with Cheese
want to try burst,Tandoori Chicken Burst Pizza (Reg)
Stuffed Garlic Bread with Sun-dried Tomatoes,Stuffed Garlic Bread with Sun-dried Tomatoes
curry spicy,Egg Curry Mini Rice Bowl
course main light,Bisi bele bath
aloo try karna hai,Dum aloo
snack spicy,Sabudana Khichadi
iced 2,2 Iced Coffee
teekha maas,Haq Maas
mousse like something,Black forest Mousse Cake
gm] [100 jamuns gulab,Mini Gulab Jamuns [100 gm]
chicken something,Chicken Surprise Burger Combo
pyaza do Mushroom,Mushroom do pyaza
biryani bachelor,Veg Dum Biryani - Bachelor
something like kollapuri,Veg Kollapuri
protein] something,Peri Peri Grilled Chicken Wings [50g Protein]
2 crisspy veggie burger + 2 (m) + veg pizza mcpuff,2 Crispy Veggie Burger  + 2 Fries (M) + Veg Pizza McPuff
supreme banao,Garlic Bread Spicy Supreme
something like gluten,Duo Of Black Rice & Red Rice Dosa ( Gluten Free )
cheese corn n cheese,Cheese n Corn Cheese Burst
hrx,HRX 25g Protein Shake (Chocolate)
something like cake,Dutch Truffle Cake [500g]
pind dal makhani rice bowl,Pind di Dal Makhani Rice Bowl
something paradise,Veggie Paradise Cheese Burst
corn & cheese + fries (r),Corn & Cheese Burger + Fries (R)
genovese something,Lunch Box - Al Pesto Genovese Pasta
something like classic,Classic Chicken Masala Rice Bowl + 3 Mini Samosas
corn like something,Corn & Peas Sandwich
want to try makkhai,Makkhai Badam Shorba ( Jain )
something maharaja,2 Chicken Maharaja Mac Burger + 2 Coke + Fries (L) + McFlurry Oreo (M)
spicy [multigrain],Cheddar Chicken Tikka Pizza [Multigrain]
combo,Korean Mc Spicy Chicken Burger +Korean Yuzu- Pop Sprite Combo
kuch onion chahiye,Corn and Onion Pizza + Knots Combo
veg mughal biryani,Paneer Handi Mughal Biryani + Gulab Jamun + Lem...
churma spicy,Churma Ladoo
evvolved kebab pizza (vegan),Evolved Plant Kebab Pizza (vegan)
khichdi banao,Khichdi
tandoori banao,Classic Tandoori Aloo [10 Pcs]
dominator pary for 2 (non-veg) 140 off,Dominator Party for 2 (Non-Veg) @Rs. 140 off
mithai goja,Goja
tumbler- spicy,Nilgiri Travel Tumbler- 500ml
cream,Lotus Biscoff Ice Cream
kuch strawberry chahiye,Banana 'N Strawberry Ice Cream (Small Scoop)
want to try idli,Go Native Guntur Idli
frappe banao,Mocha Frappe
dip sweet extra,Extra Sweet Chilli Dip
chorafali banao,Chorafali
chicken arrabbiata pasta,Forest Chicken Arrabbiata Pasta
bowl,Veg Biryani Bowl
something like plus,McSpicy Paneer Burger Protein Plus  + Corn + Coke Zero
something like pizza,Truffle Funghi Misti Pizza
mithi jalebi,Chhena jalebi
buttermilk spicy,Skimmed Mint Buttermilk
spicy (protein-21g),Paneer Lababdar Rice Bowl (Protein-21g)
cheesy banao,Cheesy Paneer Tikka
grape pear salad (gluten free / jain),Grape Cured Pear Salad (gluten Free / Jain)
spicy pakoda,Kadhi Pakoda - Light Meal
laddu mithai,Bandar laddu
kuch biryani chahiye,Veg Biryani Bowl
spicy classic,Classic Chicken Craver (10cm)
tandoori,Tandoori Flavour Dip - 20 gm
iced tea - lemon & mint,Fresh Iced Tea - Lemon & Mint
thali chicken tangdi,Tangdi Chicken Biryani Thali
veg schezwan noodles - half ml).,Veg Schezwan Noodles - Half (500 ml).
spicy supergrain,Supergrain Millet Dal Khichdi [16g Protein]
spicy chorafali,Chorafali
meetha kesar,Kesar Dry Fruit Lassi [200 ml]
bread tikka paneer korean,Korean Paneer Tikka Garlic Bread
chicken burst pizza (med),Korean Chicken Burst Pizza (Med)
mcspicy,McSpicy Deluxe Paneer Burger Combo
something like cheesiken,Mini Hot & Fiery Cheesiken Rice
meetha chicken,Chicken Tikka Rice Bowl
krisper wala,Veg Krisper Burgers - 2pc
corn and cheese burger + coke (m),Mexican Corn and Cheese Burger + Coke (M)
mcaloo,McAloo Tikki + Fries (R)
butter croissant +,Butter Croissant + Cappuccino.
meetha cappuccino,Cappuccino Small with French Vanilla
choco lava cake + combo @ rs.79,Choco Lava Cake + Coke Combo @ Rs.79
cheese something,Italian Chicken Pepperoni Cheese Garlic Bread
chicken wala,Chicken Biryani Bowl + Thums Up Combo
tomato,Tomato Ketchup Sachet
something red,Smoky Red Grilled Chicken - 2 pc
course main light,Kolim Jawla
veg gheavr,Ghevar
meetha [paratha],NH1 Chicken Tikka Masala [Paratha] Bowl
something khcihdi,Khichdi
something coolberg,Coolberg Peach
chicken barbecue pepper,Pepper Barbecue Chicken Pizza
(tub) cream ice star,Shooting Star Ice Cream (Tub)
something tao,Taco Mexicana Veg
Chunky Chocolate Cookie,Chunky Chocolate Cookie
garlic tikka paneer makhani,Makhani Paneer Tikka Garlic Bread
veg sagar,Kheer sagar
